"iso3c","date","goal","target","code","series_code","series_description","ind_value","ind_metadata","ind_quality"
"ABW",2004,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"ABW",2005,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"ABW",2006,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"ABW",2007,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"ABW",2008,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"ABW",2009,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"ABW",2010,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"ABW",2011,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"ABW",2012,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"ABW",2013,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"ABW",2014,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"ABW",2015,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"ABW",2016,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"ABW",2017,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"ABW",2018,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"ABW",2019,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"ABW",2020,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"ABW",2021,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"ABW",2022,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"ABW",2023,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AFG",2004,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AFG",2005,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AFG",2006,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AFG",2007,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AFG",2008,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AFG",2009,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AFG",2010,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AFG",2011,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AFG",2012,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AFG",2013,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AFG",2014,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AFG",2015,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AFG",2016,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AFG",2017,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AFG",2018,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AFG",2019,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AFG",2020,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AFG",2021,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AFG",2022,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AFG",2023,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AGO",2004,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AGO",2005,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AGO",2006,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AGO",2007,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AGO",2008,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AGO",2009,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AGO",2010,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AGO",2011,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AGO",2012,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AGO",2013,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AGO",2014,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AGO",2015,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
"AGO",2016,"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",NA,NA,0
