iso3c,date,goal,code,ind_value.oecd,ind_quality.oecd,ind_metadata.oecd
AUS,2008,1,1.1.1,NA,0,NA
AUS,2009,1,1.1.1,NA,0,NA
AUS,2010,1,1.1.1,0.5,1,UN
AUS,2011,1,1.1.1,NA,0,NA
AUS,2012,1,1.1.1,NA,0,NA
AUS,2013,1,1.1.1,NA,0,NA
AUS,2014,1,1.1.1,NA,0,NA
AUS,2015,1,1.1.1,NA,0,NA
AUS,2016,1,1.1.1,NA,0,NA
AUS,2017,1,1.1.1,NA,0,NA
AUS,2018,1,1.1.1,NA,0,NA
AUS,2008,1,1.2.1,NA,0,NA
AUS,2009,1,1.2.1,NA,0,NA
AUS,2010,1,1.2.1,NA,0,NA
AUS,2011,1,1.2.1,NA,0,NA
AUS,2012,1,1.2.1,NA,0,NA
AUS,2013,1,1.2.1,NA,0,NA
AUS,2014,1,1.2.1,NA,0,NA
AUS,2015,1,1.2.1,NA,0,NA
AUS,2016,1,1.2.1,12.1,1,OECD
AUS,2017,1,1.2.1,NA,0,NA
AUS,2018,1,1.2.1,NA,0,NA
AUS,2008,1,1.3.1,NA,0,NA
AUS,2009,1,1.3.1,NA,0,NA
AUS,2010,1,1.3.1,NA,0,NA
AUS,2011,1,1.3.1,NA,0,NA
AUS,2012,1,1.3.1,NA,0,NA
AUS,2013,1,1.3.1,NA,0,NA
AUS,2014,1,1.3.1,NA,0,NA
AUS,2015,1,1.3.1,NA,0,NA
AUS,2016,1,1.3.1,21.041366969345503,1,OECD
AUS,2017,1,1.3.1,NA,0,NA
AUS,2018,1,1.3.1,NA,0,NA
AUS,2008,1,1.5.1,NA,0,NA
AUS,2009,1,1.5.1,NA,0,NA
AUS,2010,1,1.5.1,NA,0,NA
AUS,2011,1,1.5.1,NA,0,NA
AUS,2012,1,1.5.1,NA,0,NA
AUS,2013,1,1.5.1,NA,0,NA
AUS,2014,1,1.5.1,NA,0,NA
AUS,2015,1,1.5.1,NA,0,NA
AUS,2016,1,1.5.1,NA,0,NA
AUS,2017,1,1.5.1,NA,0,NA
AUS,2018,1,1.5.1,NA,0,NA
AUS,2008,1,1.5.2,NA,0,NA
AUS,2009,1,1.5.2,NA,0,NA
AUS,2010,1,1.5.2,NA,0,NA
AUS,2011,1,1.5.2,NA,0,NA
AUS,2012,1,1.5.2,NA,0,NA
AUS,2013,1,1.5.2,NA,0,NA
AUS,2014,1,1.5.2,NA,0,NA
AUS,2015,1,1.5.2,NA,0,NA
AUS,2016,1,1.5.2,NA,0,NA
AUS,2017,1,1.5.2,NA,0,NA
AUS,2018,1,1.5.2,NA,0,NA
AUS,2008,1,1.5.3,NA,0,NA
AUS,2009,1,1.5.3,NA,0,NA
AUS,2010,1,1.5.3,NA,0,NA
AUS,2011,1,1.5.3,NA,0,NA
AUS,2012,1,1.5.3,NA,0,NA
AUS,2013,1,1.5.3,NA,0,NA
AUS,2014,1,1.5.3,NA,0,NA
AUS,2015,1,1.5.3,1,1,UN
AUS,2016,1,1.5.3,NA,0,NA
AUS,2017,1,1.5.3,NA,0,NA
AUS,2018,1,1.5.3,NA,0,NA
AUS,2008,1,1.a.1,NA,0,NA
AUS,2009,1,1.a.1,NA,0,NA
AUS,2010,1,1.a.1,NA,0,NA
AUS,2011,1,1.a.1,NA,0,NA
AUS,2012,1,1.a.1,NA,0,NA
AUS,2013,1,1.a.1,NA,0,NA
AUS,2014,1,1.a.1,NA,0,NA
AUS,2015,1,1.a.1,NA,0,NA
AUS,2016,1,1.a.1,NA,0,NA
AUS,2017,1,1.a.1,NA,0,NA
AUS,2018,1,1.a.1,NA,0,NA
AUS,2008,10,10.1.1,NA,0,NA
AUS,2009,10,10.1.1,NA,0,NA
AUS,2010,10,10.1.1,NA,0,NA
AUS,2011,10,10.1.1,NA,0,NA
AUS,2012,10,10.1.1,NA,0,NA
AUS,2013,10,10.1.1,NA,0,NA
AUS,2014,10,10.1.1,NA,0,NA
AUS,2015,10,10.1.1,NA,0,NA
AUS,2016,10,10.1.1,NA,0,NA
AUS,2017,10,10.1.1,NA,0,NA
AUS,2018,10,10.1.1,NA,0,NA
AUS,2008,10,10.4.1,NA,0,NA
AUS,2009,10,10.4.1,NA,0,NA
AUS,2010,10,10.4.1,NA,0,NA
AUS,2011,10,10.4.1,NA,0,NA
AUS,2012,10,10.4.1,NA,0,NA
AUS,2013,10,10.4.1,NA,0,NA
AUS,2014,10,10.4.1,NA,0,NA
AUS,2015,10,10.4.1,NA,0,NA
AUS,2016,10,10.4.1,NA,0,NA
AUS,2017,10,10.4.1,47.1341552734375,1,OECD
AUS,2018,10,10.4.1,NA,0,NA
AUS,2008,10,10.5.1,NA,0,NA
AUS,2009,10,10.5.1,NA,0,NA
AUS,2010,10,10.5.1,NA,0,NA
AUS,2011,10,10.5.1,NA,0,NA
AUS,2012,10,10.5.1,NA,0,NA
AUS,2013,10,10.5.1,NA,0,NA
AUS,2014,10,10.5.1,NA,0,NA
AUS,2015,10,10.5.1,NA,0,NA
AUS,2016,10,10.5.1,NA,0,NA
AUS,2017,10,10.5.1,NA,0,NA
AUS,2018,10,10.5.1,NA,0,NA
AUS,2008,10,10.6.1,NA,0,NA
AUS,2009,10,10.6.1,NA,0,NA
AUS,2010,10,10.6.1,NA,0,NA
AUS,2011,10,10.6.1,NA,0,NA
AUS,2012,10,10.6.1,NA,0,NA
AUS,2013,10,10.6.1,NA,0,NA
AUS,2014,10,10.6.1,NA,0,NA
AUS,2015,10,10.6.1,NA,0,NA
AUS,2016,10,10.6.1,NA,0,NA
AUS,2017,10,10.6.1,NA,0,NA
AUS,2018,10,10.6.1,NA,0,NA
AUS,2008,10,10.a.1,NA,0,NA
AUS,2009,10,10.a.1,NA,0,NA
AUS,2010,10,10.a.1,NA,0,NA
AUS,2011,10,10.a.1,NA,0,NA
AUS,2012,10,10.a.1,NA,0,NA
AUS,2013,10,10.a.1,NA,0,NA
AUS,2014,10,10.a.1,NA,0,NA
AUS,2015,10,10.a.1,NA,0,NA
AUS,2016,10,10.a.1,NA,0,NA
AUS,2017,10,10.a.1,NA,0,NA
AUS,2018,10,10.a.1,NA,0,NA
AUS,2008,10,10.b.1,NA,0,NA
AUS,2009,10,10.b.1,NA,0,NA
AUS,2010,10,10.b.1,NA,0,NA
AUS,2011,10,10.b.1,NA,0,NA
AUS,2012,10,10.b.1,NA,0,NA
AUS,2013,10,10.b.1,NA,0,NA
AUS,2014,10,10.b.1,NA,0,NA
AUS,2015,10,10.b.1,NA,0,NA
AUS,2016,10,10.b.1,NA,0,NA
AUS,2017,10,10.b.1,1567.9599609375,1,OECD
AUS,2018,10,10.b.1,NA,0,NA
AUS,2008,10,10.c.1,NA,0,NA
AUS,2009,10,10.c.1,NA,0,NA
AUS,2010,10,10.c.1,NA,0,NA
AUS,2011,10,10.c.1,NA,0,NA
AUS,2012,10,10.c.1,NA,0,NA
AUS,2013,10,10.c.1,NA,0,NA
AUS,2014,10,10.c.1,NA,0,NA
AUS,2015,10,10.c.1,NA,0,NA
AUS,2016,10,10.c.1,NA,0,NA
AUS,2017,10,10.c.1,NA,0,NA
AUS,2018,10,10.c.1,NA,0,NA
AUS,2008,11,11.1.1,NA,0,NA
AUS,2009,11,11.1.1,NA,0,NA
AUS,2010,11,11.1.1,NA,0,NA
AUS,2011,11,11.1.1,NA,0,NA
AUS,2012,11,11.1.1,NA,0,NA
AUS,2013,11,11.1.1,NA,0,NA
AUS,2014,11,11.1.1,NA,0,NA
AUS,2015,11,11.1.1,NA,0,NA
AUS,2016,11,11.1.1,NA,0,NA
AUS,2017,11,11.1.1,NA,0,NA
AUS,2018,11,11.1.1,NA,0,NA
AUS,2008,11,11.5.1,NA,0,NA
AUS,2009,11,11.5.1,NA,0,NA
AUS,2010,11,11.5.1,NA,0,NA
AUS,2011,11,11.5.1,NA,0,NA
AUS,2012,11,11.5.1,NA,0,NA
AUS,2013,11,11.5.1,NA,0,NA
AUS,2014,11,11.5.1,NA,0,NA
AUS,2015,11,11.5.1,NA,0,NA
AUS,2016,11,11.5.1,NA,0,NA
AUS,2017,11,11.5.1,NA,0,NA
AUS,2018,11,11.5.1,NA,0,NA
AUS,2008,11,11.5.2,NA,0,NA
AUS,2009,11,11.5.2,NA,0,NA
AUS,2010,11,11.5.2,NA,0,NA
AUS,2011,11,11.5.2,NA,0,NA
AUS,2012,11,11.5.2,NA,0,NA
AUS,2013,11,11.5.2,NA,0,NA
AUS,2014,11,11.5.2,NA,0,NA
AUS,2015,11,11.5.2,NA,0,NA
AUS,2016,11,11.5.2,NA,0,NA
AUS,2017,11,11.5.2,NA,0,NA
AUS,2018,11,11.5.2,NA,0,NA
AUS,2008,11,11.6.1,NA,0,NA
AUS,2009,11,11.6.1,NA,0,NA
AUS,2010,11,11.6.1,NA,0,NA
AUS,2011,11,11.6.1,NA,0,NA
AUS,2012,11,11.6.1,NA,0,NA
AUS,2013,11,11.6.1,NA,0,NA
AUS,2014,11,11.6.1,NA,0,NA
AUS,2015,11,11.6.1,42.004,1,OECD
AUS,2016,11,11.6.1,NA,0,NA
AUS,2017,11,11.6.1,NA,0,NA
AUS,2018,11,11.6.1,NA,0,NA
AUS,2008,11,11.6.2,NA,0,NA
AUS,2009,11,11.6.2,NA,0,NA
AUS,2010,11,11.6.2,NA,0,NA
AUS,2011,11,11.6.2,NA,0,NA
AUS,2012,11,11.6.2,NA,0,NA
AUS,2013,11,11.6.2,NA,0,NA
AUS,2014,11,11.6.2,NA,0,NA
AUS,2015,11,11.6.2,NA,0,NA
AUS,2016,11,11.6.2,NA,0,NA
AUS,2017,11,11.6.2,8.52437,1,OECD
AUS,2018,11,11.6.2,NA,0,NA
AUS,2008,11,11.a.1,NA,0,NA
AUS,2009,11,11.a.1,NA,0,NA
AUS,2010,11,11.a.1,NA,0,NA
