"iso3c","date","country","region","income_level","goal","ind_quality","ind_number","goal_count"
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Combined",0.12,49,50
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Any Data Available",0.12,49,50
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Tier 1",0.278,30,18
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Tier 2",0.031,19,32
"ABW",2020,"Aruba","Latin America & Caribbean","High income","1",0.167,6,6
"ABW",2020,"Aruba","Latin America & Caribbean","High income","10",0,1,1
"ABW",2020,"Aruba","Latin America & Caribbean","High income","11",0,3,3
"ABW",2020,"Aruba","Latin America & Caribbean","High income","16",0.143,7,7
"ABW",2020,"Aruba","Latin America & Caribbean","High income","2",0,2,2
"ABW",2020,"Aruba","Latin America & Caribbean","High income","3",0.2,5,5
"ABW",2020,"Aruba","Latin America & Caribbean","High income","4",0.167,6,6
"ABW",2020,"Aruba","Latin America & Caribbean","High income","5",0.071,13,14
"ABW",2020,"Aruba","Latin America & Caribbean","High income","8",0.167,6,6
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Top 5 DHS/MICS Dropped",0.133,44,45
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Top 7 DHS/MICS Dropped",0.116,43,43
"AFG",2020,"Afghanistan","South Asia","Low income","Combined",0.44,49,50
"AFG",2020,"Afghanistan","South Asia","Low income","Any Data Available",0.54,49,50
"AFG",2020,"Afghanistan","South Asia","Low income","Tier 1",0.833,30,18
"AFG",2020,"Afghanistan","South Asia","Low income","Tier 2",0.219,19,32
"AFG",2020,"Afghanistan","South Asia","Low income","1",0.333,6,6
"AFG",2020,"Afghanistan","South Asia","Low income","10",0,1,1
"AFG",2020,"Afghanistan","South Asia","Low income","11",0,3,3
"AFG",2020,"Afghanistan","South Asia","Low income","16",0.571,7,7
"AFG",2020,"Afghanistan","South Asia","Low income","2",0.5,2,2
"AFG",2020,"Afghanistan","South Asia","Low income","3",1,5,5
"AFG",2020,"Afghanistan","South Asia","Low income","4",0.333,6,6
"AFG",2020,"Afghanistan","South Asia","Low income","5",0.429,13,14
"AFG",2020,"Afghanistan","South Asia","Low income","8",0.333,6,6
"AFG",2020,"Afghanistan","South Asia","Low income","Top 5 DHS/MICS Dropped",0.467,44,45
"AFG",2020,"Afghanistan","South Asia","Low income","Top 7 DHS/MICS Dropped",0.465,43,43
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Combined",0.46,49,50
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Any Data Available",0.6,49,50
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Tier 1",1.056,30,18
