Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Nature],[Observation Status],[Reporting Type],[Units]
"3","3.1","3.1.2","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","1","World","2000","61","2000","","","","","UNICEF/WHO joint global database on Skilled attendance at birth (2024)","","","N","","G","PERCENT"
"3","3.1","3.1.2","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","1","World","2001","61.2","2001","","","","","UNICEF/WHO joint global database on Skilled attendance at birth (2024)","","","N","","G","PERCENT"
"3","3.1","3.1.2","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","1","World","2002","61.8","2002","","","","","UNICEF/WHO joint global database on Skilled attendance at birth (2024)","","","N","","G","PERCENT"
"3","3.1","3.1.2","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","1","World","2003","62.5","2003","","","","","UNICEF/WHO joint global database on Skilled attendance at birth (2024)","","","N","","G","PERCENT"
"3","3.1","3.1.2","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","1","World","2004","63.4","2004","","","","","UNICEF/WHO joint global database on Skilled attendance at birth (2024)","","","N","","G","PERCENT"
"3","3.1","3.1.2","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","1","World","2005","64.4","2005","","","","","UNICEF/WHO joint global database on Skilled attendance at birth (2024)","","","N","","G","PERCENT"
"3","3.1","3.1.2","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","1","World","2006","65.6","2006","","","","","UNICEF/WHO joint global database on Skilled attendance at birth (2024)","","","N","","G","PERCENT"
"3","3.1","3.1.2","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","1","World","2007","67","2007","","","","","UNICEF/WHO joint global database on Skilled attendance at birth (2024)","","","N","","G","PERCENT"
"3","3.1","3.1.2","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","1","World","2008","68.6","2008","","","","","UNICEF/WHO joint global database on Skilled attendance at birth (2024)","","","N","","G","PERCENT"
"3","3.1","3.1.2","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","1","World","2009","70.3","2009","","","","","UNICEF/WHO joint global database on Skilled attendance at birth (2024)","","","N","","G","PERCENT"
"3","3.1","3.1.2","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","1","World","2010","72.1","2010","","","","","UNICEF/WHO joint global database on Skilled attendance at birth (2024)","","","N","","G","PERCENT"
