Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Nature],[Reporting Type],[Type of skill],[Units]
"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)","8","Albania","2019","0.82791","2019","","","","","INSTAT (Institute of Statistics)","","","C","G","COPA","Ratio"
"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)","8","Albania","2019","1.04374","2019","","","","","INSTAT (Institute of Statistics)","","","C","G","EPRS","Ratio"
"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)","8","Albania","2019","0.76814","2019","","","","","INSTAT (Institute of Statistics)","","","C","G","PCPR","Ratio"
"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)","8","Albania","2019","0.82642","2019","","","","","INSTAT (Institute of Statistics)","","","C","G","SOFT","Ratio"
"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)","8","Albania","2019","0.85580","2019","","","","","INSTAT (Institute of Statistics)","","","C","G","TRAF","Ratio"
"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)","12","Algeria","2018","0.46477","2018","","","","","Ministry of Post, Telecommunications, Technologies and Digital","","","C","G","INST","Ratio"
"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)","12","Algeria","2018","0.51282","2018","","","","","Ministry of Post, Telecommunications, Technologies and Digital","","","C","G","PCPR","Ratio"
"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)","12","Algeria","2018","0.51112","2018","","","","","Ministry of Post, Telecommunications, Technologies and Digital","","","C","G","SOFT","Ratio"
"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)","12","Algeria","2018","0.51432","2018","","","","","Ministry of Post, Telecommunications, Technologies and Digital","","","C","G","TRAF","Ratio"
"4","4.5","4.5.1","SE_GPI_ICTS","Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)","12","Algeria","2018","0.44817","2018","","","","","Ministry of Post, Telecommunications, Technologies and Digital","","","C","G","ARSP","Ratio"
