Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Migratory status],[Nature],[Reporting Type],[Sex],[Units]
"8","8.8","8.8.1","SL_EMP_FTLINJUR","Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)","12","Algeria","2000","27.3","2000","","","","","ADM-IR - Insurance records","","Coverage of occupational injuries: Compensated injuries | Type of rate: Incidence rate (per 100'000 persons insured)","_T","C","G","BOTHSEX","PER_100000_EMP"
"8","8.8","8.8.1","SL_EMP_FTLINJUR","Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)","12","Algeria","2001","23.2","2001","","","","","ADM-IR - Insurance records","","Coverage of occupational injuries: Compensated injuries | Type of rate: Incidence rate (per 100'000 persons insured)","_T","C","G","BOTHSEX","PER_100000_EMP"
"8","8.8","8.8.1","SL_EMP_FTLINJUR","Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)","12","Algeria","2002","20.9","2002","","","","","ADM-IR - Insurance records","","Coverage of occupational injuries: Compensated injuries | Type of rate: Incidence rate (per 100'000 persons insured)","_T","C","G","BOTHSEX","PER_100000_EMP"
"8","8.8","8.8.1","SL_EMP_FTLINJUR","Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)","12","Algeria","2003","19.0","2003","","","","","ADM-IR - Insurance records","","Coverage of occupational injuries: Compensated injuries | Type of rate: Incidence rate (per 100'000 persons insured)","_T","C","G","BOTHSEX","PER_100000_EMP"
"8","8.8","8.8.1","SL_EMP_FTLINJUR","Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)","12","Algeria","2004","17.6","2004","","","","","ADM-IR - Insurance records","","Coverage of occupational injuries: Compensated injuries | Type of rate: Incidence rate (per 100'000 persons insured)","_T","C","G","BOTHSEX","PER_100000_EMP"
"8","8.8","8.8.1","SL_EMP_FTLINJUR","Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)","31","Azerbaijan","2000","4.0","2000","","","","","ADM-LIR - Labour inspectorate records","","Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 employees)","_T","C","G","BOTHSEX","PER_100000_EMP"
"8","8.8","8.8.1","SL_EMP_FTLINJUR","Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)","31","Azerbaijan","2001","0.0","2001","","","","","ADM-LIR - Labour inspectorate records","","Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 employees)","_T","C","G","FEMALE","PER_100000_EMP"
"8","8.8","8.8.1","SL_EMP_FTLINJUR","Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)","31","Azerbaijan","2001","5.0","2001","","","","","ADM-LIR - Labour inspectorate records","","Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 employees)","_T","C","G","MALE","PER_100000_EMP"
"8","8.8","8.8.1","SL_EMP_FTLINJUR","Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)","31","Azerbaijan","2001","3.0","2001","","","","","ADM-LIR - Labour inspectorate records","","Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 employees)","_T","C","G","BOTHSEX","PER_100000_EMP"
"8","8.8","8.8.1","SL_EMP_FTLINJUR","Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)","31","Azerbaijan","2002","10.0","2002","","","","","ADM-LIR - Labour inspectorate records","","Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 employees)","_T","C","G","MALE","PER_100000_EMP"
