Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Education level],[Nature],[Reporting Type],[Sex],[Type of skill],[Units]
"4","4.1","4.1.1","SE_TOT_PRFL","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)","1","World","2020","47.15002","2015-2019","","","","","UNESCO Institute for Statistics.  Data extracted on 13 April 2021.","","","GRAD23","C","G","BOTHSEX","SKILL_READ","PERCENT"
"4","4.1","4.1.1","SE_TOT_PRFL","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)","1","World","2020","53.5575","2015-2019","","","","","UNESCO Institute for Statistics.  Data extracted on 13 April 2021.","","","LOWSEC","C","G","MALE","SKILL_READ","PERCENT"
"4","4.1","4.1.1","SE_TOT_PRFL","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)","1","World","2020","44.082","2015-2019","","","","","UNESCO Institute for Statistics.  Data extracted on 13 April 2021.","","","PRIMAR","C","G","FEMALE","SKILL_MATH","PERCENT"
"4","4.1","4.1.1","SE_TOT_PRFL","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)","1","World","2020","50.26854","2015-2019","","","","","UNESCO Institute for Statistics.  Data extracted on 13 April 2021.","","","LOWSEC","C","G","MALE","SKILL_MATH","PERCENT"
"4","4.1","4.1.1","SE_TOT_PRFL","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)","1","World","2020","55.84071","2015-2019","","","","","UNESCO Institute for Statistics.  Data extracted on 13 April 2021.","","","PRIMAR","C","G","FEMALE","SKILL_READ","PERCENT"
"4","4.1","4.1.1","SE_TOT_PRFL","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)","1","World","2020","52.55912","2015-2019","","","","","UNESCO Institute for Statistics.  Data extracted on 13 April 2021.","","","PRIMAR","C","G","MALE","SKILL_READ","PERCENT"
"4","4.1","4.1.1","SE_TOT_PRFL","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)","1","World","2020","46.16556","2015-2019","","","","","UNESCO Institute for Statistics.  Data extracted on 13 April 2021.","","","GRAD23","C","G","MALE","SKILL_MATH","PERCENT"
"4","4.1","4.1.1","SE_TOT_PRFL","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)","1","World","2020","48.00471","2015-2019","","","","","UNESCO Institute for Statistics.  Data extracted on 13 April 2021.","","","LOWSEC","C","G","FEMALE","SKILL_MATH","PERCENT"
"4","4.1","4.1.1","SE_TOT_PRFL","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)","1","World","2020","46.63793","2015-2019","","","","","UNESCO Institute for Statistics.  Data extracted on 13 April 2021.","","","GRAD23","C","G","FEMALE","SKILL_MATH","PERCENT"
"4","4.1","4.1.1","SE_TOT_PRFL","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)","1","World","2020","46.40175","2015-2019","","","","","UNESCO Institute for Statistics.  Data extracted on 13 April 2021.","","","GRAD23","C","G","BOTHSEX","SKILL_MATH","PERCENT"
"4","4.1","4.1.1","SE_TOT_PRFL","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)","1","World","2020","45.85014","2015-2019","","","","","UNESCO Institute for Statistics.  Data extracted on 13 April 2021.","","","GRAD23","C","G","MALE","SKILL_READ","PERCENT"
"4","4.1","4.1.1","SE_TOT_PRFL","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)","1","World","2020","54.19992","2015-2019","","","","","UNESCO Institute for Statistics.  Data extracted on 13 April 2021.","","","PRIMAR","C","G","BOTHSEX","SKILL_READ","PERCENT"
"4","4.1","4.1.1","SE_TOT_PRFL","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)","1","World","2020","62.48896","2015-2019","","","","","UNESCO Institute for Statistics.  Data extracted on 13 April 2021.","","","LOWSEC","C","G","FEMALE","SKILL_READ","PERCENT"
"4","4.1","4.1.1","SE_TOT_PRFL","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)","1","World","2020","58.02323","2015-2019","","","","","UNESCO Institute for Statistics.  Data extracted on 13 April 2021.","","","LOWSEC","C","G","BOTHSEX","SKILL_READ","PERCENT"
"4","4.1","4.1.1","SE_TOT_PRFL","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)","1","World","2020","48.4499","2015-2019","","","","","UNESCO Institute for Statistics.  Data extracted on 13 April 2021.","","","GRAD23","C","G","FEMALE","SKILL_READ","PERCENT"
"4","4.1","4.1.1","SE_TOT_PRFL","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)","1","World","2020","44.89102","2015-2019","","","","","UNESCO Institute for Statistics.  Data extracted on 13 April 2021.","","","PRIMAR","C","G","MALE","SKILL_MATH","PERCENT"
"4","4.1","4.1.1","SE_TOT_PRFL","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)","1","World","2020","44.48651","2015-2019","","","","","UNESCO Institute for Statistics.  Data extracted on 13 April 2021.","","","PRIMAR","C","G","BOTHSEX","SKILL_MATH","PERCENT"
"4","4.1","4.1.1","SE_TOT_PRFL","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)","1","World","2020","49.13663","2015-2019","","","","","UNESCO Institute for Statistics.  Data extracted on 13 April 2021.","","","LOWSEC","C","G","BOTHSEX","SKILL_MATH","PERCENT"
"4","4.1","4.1.1","SE_TOT_PRFL","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)","4","Afghanistan","2013","11","2013","","","","","National Learning Assessment (NLA): Monitoring Trends in Educational Growth (MTEG) assessment; Grade 6; Minimum proficiency level: 9 Data extracted on 13 April 2021.","","","PRIMAR","C","G","BOTHSEX","SKILL_MATH","PERCENT"
"4","4.1","4.1.1","SE_TOT_PRFL","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)","4","Afghanistan","2013","13","2013","","","","","National Learning Assessment (NLA): Monitoring Trends in Educational Growth (MTEG) assessment; Grade 6; Minimum proficiency level: 10 Data extracted on 13 April 2021.","","","PRIMAR","C","G","BOTHSEX","SKILL_READ","PERCENT"
