Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Cause of death],[Nature],[Reporting Type],[Sex],[Units]
"16","16.1","16.1.2","VC_DTH_TOUNN","Number of conflict-related deaths (unknown), by sex, age and cause of death (Number)","1","World","2015","5893","2015","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. ","ALLAGE","_T","N","G","BOTHSEX","NUMBER"
"16","16.1","16.1.2","VC_DTH_TOUNN","Number of conflict-related deaths (unknown), by sex, age and cause of death (Number)","1","World","2016","4198","2016","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. ","ALLAGE","_T","N","G","BOTHSEX","NUMBER"
"16","16.1","16.1.2","VC_DTH_TOUNN","Number of conflict-related deaths (unknown), by sex, age and cause of death (Number)","1","World","2017","2814","2017","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. ","ALLAGE","_T","N","G","BOTHSEX","NUMBER"
"16","16.1","16.1.2","VC_DTH_TOUNN","Number of conflict-related deaths (unknown), by sex, age and cause of death (Number)","1","World","2018","3932","2018","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. ","ALLAGE","_T","N","G","BOTHSEX","NUMBER"
"16","16.1","16.1.2","VC_DTH_TOUNN","Number of conflict-related deaths (unknown), by sex, age and cause of death (Number)","1","World","2019","1590","2019","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. ","ALLAGE","_T","N","G","BOTHSEX","NUMBER"
"16","16.1","16.1.2","VC_DTH_TOUNN","Number of conflict-related deaths (unknown), by sex, age and cause of death (Number)","1","World","2020","714","2020","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. ","ALLAGE","_T","N","G","BOTHSEX","NUMBER"
"16","16.1","16.1.2","VC_DTH_TOUNN","Number of conflict-related deaths (unknown), by sex, age and cause of death (Number)","275","State of Palestine","2015","0","2015","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. Figures include data on deaths that occurred in the State of Palestine and Israel. Due to the continuing intensity of the conflict in Gaza, the United Nations is still in the process of verifying disaggregated data for 2023.","ALLAGE","_T","C","G","BOTHSEX","NUMBER"
"16","16.1","16.1.2","VC_DTH_TOUNN","Number of conflict-related deaths (unknown), by sex, age and cause of death (Number)","275","State of Palestine","2016","0","2016","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. Figures include data on deaths that occurred in the State of Palestine and Israel. Due to the continuing intensity of the conflict in Gaza, the United Nations is still in the process of verifying disaggregated data for 2023.","ALLAGE","_T","C","G","BOTHSEX","NUMBER"
"16","16.1","16.1.2","VC_DTH_TOUNN","Number of conflict-related deaths (unknown), by sex, age and cause of death (Number)","275","State of Palestine","2017","0","2017","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. Figures include data on deaths that occurred in the State of Palestine and Israel. Due to the continuing intensity of the conflict in Gaza, the United Nations is still in the process of verifying disaggregated data for 2023.","ALLAGE","_T","C","G","BOTHSEX","NUMBER"
"16","16.1","16.1.2","VC_DTH_TOUNN","Number of conflict-related deaths (unknown), by sex, age and cause of death (Number)","275","State of Palestine","2018","41","2018","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. Figures include data on deaths that occurred in the State of Palestine and Israel. Due to the continuing intensity of the conflict in Gaza, the United Nations is still in the process of verifying disaggregated data for 2023.","ALLAGE","_T","C","G","BOTHSEX","NUMBER"
"16","16.1","16.1.2","VC_DTH_TOUNN","Number of conflict-related deaths (unknown), by sex, age and cause of death (Number)","275","State of Palestine","2019","43","2019","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. Figures include data on deaths that occurred in the State of Palestine and Israel. Due to the continuing intensity of the conflict in Gaza, the United Nations is still in the process of verifying disaggregated data for 2023.","ALLAGE","_T","C","G","BOTHSEX","NUMBER"
