"iso3c","country","region","income","goal","ind_quality","ind_number","date"
"ABW","Aruba","Latin America & Caribbean ","High income",1,0.2,5,2023
"ABW","Aruba","Latin America & Caribbean ","High income",2,0,2,2023
"ABW","Aruba","Latin America & Caribbean ","High income",3,0.2,5,2023
"ABW","Aruba","Latin America & Caribbean ","High income",4,0,6,2023
"ABW","Aruba","Latin America & Caribbean ","High income",5,0,13,2023
"ABW","Aruba","Latin America & Caribbean ","High income",8,0,6,2023
"ABW","Aruba","Latin America & Caribbean ","High income",10,0,1,2023
"ABW","Aruba","Latin America & Caribbean ","High income",16,0,5,2023
"ABW","Aruba","Latin America & Caribbean ","High income",NA,0,1,2023
"AFG","Afghanistan","South Asia","Low income",1,0.4,5,2023
"AFG","Afghanistan","South Asia","Low income",2,0.5,2,2023
"AFG","Afghanistan","South Asia","Low income",3,0.8,5,2023
"AFG","Afghanistan","South Asia","Low income",4,0.5,6,2023
"AFG","Afghanistan","South Asia","Low income",5,0.308,13,2023
"AFG","Afghanistan","South Asia","Low income",8,0.833,6,2023
"AFG","Afghanistan","South Asia","Low income",10,0,1,2023
"AFG","Afghanistan","South Asia","Low income",16,0.4,5,2023
"AFG","Afghanistan","South Asia","Low income",NA,0,1,2023
"AGO","Angola","Sub-Saharan Africa ","Lower middle income",1,0.2,5,2023
"AGO","Angola","Sub-Saharan Africa ","Lower middle income",2,0.5,2,2023
"AGO","Angola","Sub-Saharan Africa ","Lower middle income",3,0.4,5,2023
"AGO","Angola","Sub-Saharan Africa ","Lower middle income",4,0.333,6,2023
"AGO","Angola","Sub-Saharan Africa ","Lower middle income",5,0.308,13,2023
"AGO","Angola","Sub-Saharan Africa ","Lower middle income",8,0.667,6,2023
"AGO","Angola","Sub-Saharan Africa ","Lower middle income",10,0,1,2023
"AGO","Angola","Sub-Saharan Africa ","Lower middle income",16,0.333,5,2023
"AGO","Angola","Sub-Saharan Africa ","Lower middle income",NA,0,1,2023
"ALB","Albania","Europe & Central Asia","Upper middle income",1,0.8,5,2023
"ALB","Albania","Europe & Central Asia","Upper middle income",2,0.5,2,2023
"ALB","Albania","Europe & Central Asia","Upper middle income",3,0.8,5,2023
"ALB","Albania","Europe & Central Asia","Upper middle income",4,0.667,6,2023
"ALB","Albania","Europe & Central Asia","Upper middle income",5,0.385,13,2023
"ALB","Albania","Europe & Central Asia","Upper middle income",8,0.333,6,2023
"ALB","Albania","Europe & Central Asia","Upper middle income",10,1,1,2023
"ALB","Albania","Europe & Central Asia","Upper middle income",16,0.6,5,2023
"ALB","Albania","Europe & Central Asia","Upper middle income",NA,0,1,2023
"AND","Andorra","Europe & Central Asia","High income",1,0.2,5,2023
"AND","Andorra","Europe & Central Asia","High income",2,0,2,2023
"AND","Andorra","Europe & Central Asia","High income",3,0.2,5,2023
"AND","Andorra","Europe & Central Asia","High income",4,0.333,6,2023
"AND","Andorra","Europe & Central Asia","High income",5,0.077,13,2023
"AND","Andorra","Europe & Central Asia","High income",8,0,6,2023
"AND","Andorra","Europe & Central Asia","High income",10,0,1,2023
"AND","Andorra","Europe & Central Asia","High income",16,0.4,5,2023
"AND","Andorra","Europe & Central Asia","High income",NA,0,1,2023
"ARE","United Arab Emirates","Middle East & North Africa","High income",1,0.2,5,2023
"ARE","United Arab Emirates","Middle East & North Africa","High income",2,0,2,2023
"ARE","United Arab Emirates","Middle East & North Africa","High income",3,0.6,5,2023
"ARE","United Arab Emirates","Middle East & North Africa","High income",4,0.667,6,2023
"ARE","United Arab Emirates","Middle East & North Africa","High income",5,0.308,13,2023
"ARE","United Arab Emirates","Middle East & North Africa","High income",8,0.333,6,2023
"ARE","United Arab Emirates","Middle East & North Africa","High income",10,0,1,2023
"ARE","United Arab Emirates","Middle East & North Africa","High income",16,0.533,5,2023
"ARE","United Arab Emirates","Middle East & North Africa","High income",NA,0,1,2023
